"idproducto","barra","descripcion"
854,"7494258801176","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801183","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801206","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801213","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801220","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801237","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801244","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801305","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801312","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
854,"7494258801329","BOLSA GLOBOS DECORO GLOBOS 12""X100 PZAS"
813,"7494258801343","BOLSA GLOBOS CHROME DECORO GLOBOS 12""*50 PZAS"
813,"7494258801350","BOLSA GLOBOS CHROME DECORO GLOBOS 12""*50 PZAS"
813,"7494258801367","BOLSA GLOBOS CHROME DECORO GLOBOS 12""*50 PZAS"
813,"7494258801374","BOLSA GLOBOS CHROME DECORO GLOBOS 12""*50 PZAS"
813,"7494258801381","BOLSA GLOBOS CHROME DECORO GLOBOS 12""*50 PZAS"
813,"7494258801404","BOLSA GLOBOS CHROME DECORO GLOBOS 12""*50 PZAS"
813,"7494258801411","BOLSA GLOBOS CHROME DECORO GLOBOS 12""*50 PZAS"
813,"7494258801428","BOLSA GLOBOS CHROME DECORO GLOBOS 12""*50 PZAS"
813,"7494258801435","BOLSA GLOBOS CHROME DECORO GLOBOS 12""*50 PZAS"
813,"7494258801442","BOLSA GLOBOS CHROME DECORO GLOBOS 12""*50 PZAS"
813,"7494258801459","BOLSA GLOBOS CHROME DECORO GLOBOS 12""*50 PZAS"
813,"7494258801473","BOLSA GLOBOS CHROME DECORO GLOBOS 12""*50 PZAS"
855,"7494258801480","BOLSA GLOBOS DECORO GLOBOS 18""X25 PZAS"
855,"7494258801534","BOLSA GLOBOS DECORO GLOBOS 18""X25 PZAS"
855,"7494258801541","BOLSA GLOBOS DECORO GLOBOS 18""X25 PZAS"
855,"7494258801572","BOLSA GLOBOS DECORO GLOBOS 18""X25 PZAS"
855,"7494258801657","BOLSA GLOBOS DECORO GLOBOS 18""X25 PZAS"
855,"7494258801664","BOLSA GLOBOS DECORO GLOBOS 18""X25 PZAS"
855,"7494258801718","BOLSA GLOBOS DECORO GLOBOS 18""X25 PZAS"
855,"7494258801725","BOLSA GLOBOS DECORO GLOBOS 18""X25 PZAS"
855,"7494258801732","BOLSA GLOBOS DECORO GLOBOS 18""X25 PZAS"
855,"7494258801787","BOLSA GLOBOS DECORO GLOBOS 18""X25 PZAS"
855,"7494258801794","BOLSA GLOBOS DECORO GLOBOS 18""X25 PZAS"
855,"7494258801800","BOLSA GLOBOS DECORO GLOBOS 18""X25 PZAS"
814,"7494258801824","BOLSA GLOBOS CHROME DECORO GLOBOS 18""*10 PZAS"
814,"7494258801831","BOLSA GLOBOS CHROME DECORO GLOBOS 18""*10 PZAS"
